,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,dali,100,CN,1594930060,86,25.7,100.18,64.45,5.35
1,qaanaaq,94,GL,1594930074,77,77.48,-69.36,44.17,5.23
2,cape town,0,ZA,1594930079,87,-33.93,18.42,51.8,2.24
3,saint-philippe,75,RE,1594930075,72,-21.36,55.77,68.0,5.82
4,mataura,24,NZ,1594929893,98,-46.19,168.86,28.42,2.08
5,hobart,40,AU,1594930075,93,-42.88,147.33,39.0,4.7
6,albany,98,US,1594930075,57,42.6,-73.97,79.0,10.0
7,adrar,25,MR,1594930075,23,20.5,-10.07,94.75,14.0
8,rikitea,100,PF,1594930076,83,-23.12,-134.97,73.47,4.14
9,longyearbyen,75,SJ,1594930076,87,78.22,15.64,44.6,2.24
10,maple creek,0,CA,1594930176,33,49.92,-109.48,82.11,10.16
11,las vegas,1,US,1594930132,8,36.17,-115.14,102.2,8.05
12,busselton,56,AU,1594929843,88,-33.65,115.33,52.0,10.04
13,muros,16,ES,1594930076,61,42.78,-9.06,72.0,5.99
14,maniitsoq,9,GL,1594930077,83,65.42,-52.9,46.53,6.64
15,pontalina,0,BR,1594930077,35,-17.52,-49.45,80.92,6.67
16,carnarvon,75,AU,1594930077,100,-24.87,113.63,62.6,13.87
17,atuona,0,PF,1594929921,76,-9.8,-139.03,79.99,20.62
18,bengkulu,95,ID,1594929930,86,-3.8,102.27,77.18,5.01
19,marawi,100,PH,1594930078,91,8.0,124.29,73.99,5.99
20,ushuaia,0,AR,1594930078,90,-54.8,-68.3,33.8,3.36
21,jamestown,90,US,1594930078,88,42.1,-79.24,80.01,8.05
22,fallon,40,US,1594930200,8,39.47,-118.78,93.99,3.36
23,dikson,100,RU,1594930078,94,73.51,80.55,40.71,3.53
24,jalu,0,LY,1594929957,34,29.03,21.55,86.27,14.14
25,ponta do sol,1,PT,1594930201,69,32.67,-17.1,73.4,4.7
26,butaritari,43,KI,1594929920,67,3.07,172.79,83.01,9.24
27,new norfolk,8,AU,1594930202,89,-42.78,147.06,39.0,2.37
28,esperance,90,AU,1594930202,100,-33.87,121.9,57.2,13.87
29,castro,90,BR,1594930203,73,-24.79,-50.01,61.79,3.2
30,bredasdorp,0,ZA,1594930204,93,-34.53,20.04,46.4,3.36
31,tevriz,0,RU,1594930204,92,57.51,72.4,70.05,4.07
32,hermanus,0,ZA,1594929762,74,-34.42,19.23,53.01,3.0
33,yellowknife,75,CA,1594930205,48,62.46,-114.35,66.99,5.82
34,tabou,96,CI,1594930205,78,4.42,-7.35,75.34,11.07
35,georgetown,40,MY,1594930206,94,5.41,100.34,78.8,3.36
36,vaini,20,TO,1594930206,78,-21.2,-175.2,77.0,6.93
37,upernavik,20,GL,1594930207,80,72.79,-56.15,45.3,6.6
38,cidreira,100,BR,1594930207,89,-30.18,-50.21,54.07,18.32
39,mount gambier,10,AU,1594930207,93,-37.83,140.77,39.2,9.17
40,hamilton,75,US,1594930208,58,39.18,-84.53,88.0,12.75
41,slave lake,90,CA,1594930208,77,55.28,-114.77,66.2,8.05
42,marzuq,87,YE,1594929921,49,14.4,46.47,84.67,3.56
43,port alfred,3,ZA,1594930208,50,-33.59,26.89,57.36,6.53
44,vila velha,75,BR,1594930208,69,-20.33,-40.29,73.4,11.41
45,tasiilaq,40,GL,1594930209,66,65.61,-37.64,48.2,13.87
46,punta arenas,75,CL,1594930209,74,-53.15,-70.92,33.8,5.82
47,elizabeth city,20,US,1594930210,58,36.29,-76.25,88.0,9.17
48,gualaquiza,8,EC,1594930210,66,-3.4,-78.55,74.41,3.69
49,pedernales,40,DO,1594930211,52,18.04,-71.74,93.2,13.87
50,loubomo,95,CG,1594930211,79,-4.2,12.67,70.95,6.02
51,te anau,43,NZ,1594930084,95,-45.42,167.72,30.13,0.81
52,kapaa,40,US,1594930211,74,22.08,-159.32,84.0,12.75
53,sao filipe,26,CV,1594930212,79,14.9,-24.5,76.39,10.69
54,clermont,90,FR,1594930212,72,49.5,2.42,64.4,6.93
55,khatanga,100,RU,1594930212,78,71.97,102.5,50.4,14.0
56,touros,75,BR,1594929920,83,-5.2,-35.46,77.0,9.17
57,camopi,94,GF,1594930213,71,3.17,-52.32,84.25,2.06
58,mahebourg,75,MU,1594930213,83,-20.41,57.7,69.8,6.93
59,san patricio,75,MX,1594929926,75,19.22,-104.7,89.6,11.41
60,tiksi,12,RU,1594930139,88,71.69,128.87,36.48,19.8
61,victoria,100,HK,1594930140,83,22.29,114.16,84.0,5.99
62,alice springs,0,AU,1594930214,69,-23.7,133.88,33.8,3.36
63,zhezkazgan,0,KZ,1594930215,26,47.8,67.71,78.15,17.69
64,faya,25,SA,1594930215,49,18.39,42.45,71.6,12.75
65,pokrovskoye,100,RU,1594930215,44,47.42,38.9,75.99,7.0
66,tura,100,IN,1594930216,95,25.52,90.22,75.27,5.77
67,port blair,100,IN,1594930216,79,11.67,92.75,81.0,8.39
68,freeport,20,US,1594930163,57,40.66,-73.58,78.01,13.87
69,okhotsk,100,RU,1594930217,90,59.38,143.3,56.39,7.27
70,goderich,100,CA,1594930217,93,43.75,-81.72,71.01,4.0
71,saryozek,15,KZ,1594930217,27,44.36,77.98,69.71,4.03
